session_key,driver_id,lap_number
,HUL,1.0
,HAM,1.0
,BOT,1.0
,VER,1.0
,LEC,1.0
,SAI,1.0
,RIC,1.0
,NOR,1.0
,STR,1.0
,OCO,1.0
,VET,1.0
,GAS,1.0
,ALB,1.0
,GIO,1.0
,KVY,1.0
,MAG,1.0
,GRO,1.0
,RAI,1.0
,RUS,1.0
,LAT,1.0
,HAM,2.0
,BOT,2.0
,VER,2.0
,LEC,2.0
,SAI,2.0
,RIC,2.0
,NOR,2.0
,STR,2.0
,OCO,2.0
,VET,2.0
,GAS,2.0
,ALB,2.0
,GIO,2.0
,KVY,2.0
,GRO,2.0
,RAI,2.0
,RUS,2.0
,LAT,2.0
,MAG,2.0
,HAM,3.0
,BOT,3.0
,VER,3.0
,LEC,3.0
,SAI,3.0
,RIC,3.0
,NOR,3.0
,STR,3.0
,OCO,3.0
,VET,3.0
,GAS,3.0
,ALB,3.0
,GIO,3.0
,KVY,3.0
,GRO,3.0
,RAI,3.0
,RUS,3.0
,LAT,3.0
,HAM,4.0
,BOT,4.0
,VER,4.0
,LEC,4.0
,SAI,4.0
,RIC,4.0
,NOR,4.0
,STR,4.0
,OCO,4.0
,VET,4.0
,GAS,4.0
,ALB,4.0
,GIO,4.0
,KVY,4.0
,GRO,4.0
,RAI,4.0
,RUS,4.0
,LAT,4.0
,HAM,5.0
,BOT,5.0
,VER,5.0
,LEC,5.0
,SAI,5.0
,RIC,5.0
,NOR,5.0
,STR,5.0
,OCO,5.0
,VET,5.0
,GAS,5.0
,ALB,5.0
,GIO,5.0
,KVY,5.0
,GRO,5.0
,RAI,5.0
,RUS,5.0
,LAT,5.0
,HAM,6.0
,BOT,6.0
,VER,6.0
,LEC,6.0
,SAI,6.0
,RIC,6.0
,NOR,6.0
,STR,6.0
,OCO,6.0
,VET,6.0
,GAS,6.0
,GIO,6.0
,ALB,6.0
,KVY,6.0
,GRO,6.0
,RAI,6.0
,RUS,6.0
,LAT,6.0
,HAM,7.0
,BOT,7.0
,VER,7.0
,LEC,7.0
,SAI,7.0
,RIC,7.0
,NOR,7.0
,STR,7.0
,OCO,7.0
,VET,7.0
,GAS,7.0
,GIO,7.0
,KVY,7.0
,GRO,7.0
,RAI,7.0
,RUS,7.0
,LAT,7.0
,ALB,7.0
,HAM,8.0
,BOT,8.0
,VER,8.0
,LEC,8.0
,SAI,8.0
,RIC,8.0
,NOR,8.0
,STR,8.0
,OCO,8.0
,VET,8.0
,GAS,8.0
,GIO,8.0
,KVY,8.0
,GRO,8.0
,RAI,8.0
,RUS,8.0
,LAT,8.0
,ALB,8.0
,HAM,9.0
,BOT,9.0
,VER,9.0
,LEC,9.0
,SAI,9.0
,RIC,9.0
,NOR,9.0
,STR,9.0
,OCO,9.0
,VET,9.0
,GAS,9.0
,GIO,9.0
,KVY,9.0
,GRO,9.0
,RAI,9.0
,RUS,9.0
,LAT,9.0
,ALB,9.0
,HAM,10.0
,BOT,10.0
,VER,10.0
,LEC,10.0
,SAI,10.0
,RIC,10.0
,NOR,10.0
,STR,10.0
,OCO,10.0
,VET,10.0
,GAS,10.0
,GIO,10.0
,KVY,10.0
,GRO,10.0
,RAI,10.0
,RUS,10.0
,LAT,10.0
,ALB,10.0
,HAM,11.0
,BOT,11.0
,VER,11.0
,LEC,11.0
,SAI,11.0
,RIC,11.0
,NOR,11.0
,STR,11.0
,OCO,11.0
,VET,11.0
,GAS,11.0
,KVY,11.0
,GIO,11.0
,GRO,11.0
,RAI,11.0
,RUS,11.0
,LAT,11.0
,ALB,11.0
,HAM,12.0
,BOT,12.0
,VER,12.0
,LEC,12.0
,RIC,12.0
,SAI,12.0
,NOR,12.0
,STR,12.0
,OCO,12.0
,VET,12.0
,GAS,12.0
,GIO,12.0
,RAI,12.0
,GRO,12.0
,RUS,12.0
,LAT,12.0
,ALB,12.0
,KVY,12.0
,HAM,13.0
,BOT,13.0
,VER,13.0
,LEC,13.0
,SAI,13.0
,STR,13.0
,GRO,13.0
,RIC,13.0
,NOR,13.0
,VET,13.0
,OCO,13.0
,GIO,13.0
,GAS,13.0
,ALB,13.0
,RUS,13.0
,RAI,13.0
,LAT,13.0
,HAM,14.0
,BOT,14.0
,VER,14.0
,LEC,14.0
,GRO,14.0
,SAI,14.0
,RIC,14.0
,NOR,14.0
,STR,14.0
,VET,14.0
,OCO,14.0
,GIO,14.0
,GAS,14.0
,ALB,14.0
,RUS,14.0
,RAI,14.0
,LAT,14.0
,HAM,15.0
,BOT,15.0
,VER,15.0
,LEC,15.0
,GRO,15.0
,SAI,15.0
,RIC,15.0
,NOR,15.0
,STR,15.0
,VET,15.0
,OCO,15.0
,GIO,15.0
,GAS,15.0
,ALB,15.0
,RUS,15.0
,RAI,15.0
,LAT,15.0
,HAM,16.0
,BOT,16.0
,VER,16.0
,LEC,16.0
,GRO,16.0
,SAI,16.0
,RIC,16.0
,NOR,16.0
,STR,16.0
,VET,16.0
,OCO,16.0
,GIO,16.0
,GAS,16.0
,ALB,16.0
,RUS,16.0
,RAI,16.0
,LAT,16.0
,HAM,17.0
,BOT,17.0
,VER,17.0
,LEC,17.0
,GRO,17.0
,SAI,17.0
,RIC,17.0
,NOR,17.0
,STR,17.0
,VET,17.0
,OCO,17.0
,GIO,17.0
,GAS,17.0
,ALB,17.0
,RUS,17.0
,RAI,17.0
,LAT,17.0
,HAM,18.0
,BOT,18.0
,VER,18.0
,LEC,18.0
,GRO,18.0
,SAI,18.0
,RIC,18.0
,NOR,18.0
,STR,18.0
,VET,18.0
,OCO,18.0
,GIO,18.0
,GAS,18.0
,ALB,18.0
,RUS,18.0
,RAI,18.0
,LAT,18.0
,HAM,19.0
,BOT,19.0
,VER,19.0
,LEC,19.0
,GRO,19.0
,SAI,19.0
,NOR,19.0
,RIC,19.0
,STR,19.0
,OCO,19.0
,VET,19.0
,GIO,19.0
,GAS,19.0
,ALB,19.0
,RAI,19.0
,RUS,19.0
,LAT,19.0
,HAM,20.0
,BOT,20.0
,VER,20.0
,LEC,20.0
,GRO,20.0
,SAI,20.0
,NOR,20.0
,RIC,20.0
,STR,20.0
,OCO,20.0
,VET,20.0
,GIO,20.0
,GAS,20.0
,ALB,20.0
,RAI,20.0
,RUS,20.0
,LAT,20.0
,HAM,21.0
,BOT,21.0
,VER,21.0
,LEC,21.0
,GRO,21.0
,SAI,21.0
,NOR,21.0
,RIC,21.0
,STR,21.0
,OCO,21.0
,VET,21.0
,GIO,21.0
,GAS,21.0
,ALB,21.0
,RAI,21.0
,RUS,21.0
,LAT,21.0
,HAM,22.0
,BOT,22.0
,VER,22.0
,LEC,22.0
,SAI,22.0
,GRO,22.0
,NOR,22.0
,RIC,22.0
,STR,22.0
,OCO,22.0
,VET,22.0
,GIO,22.0
,GAS,22.0
,ALB,22.0
,RAI,22.0
,RUS,22.0
,LAT,22.0
,HAM,23.0
,BOT,23.0
,VER,23.0
,LEC,23.0
,SAI,23.0
,GRO,23.0
,NOR,23.0
,RIC,23.0
,STR,23.0
,OCO,23.0
,VET,23.0
,GIO,23.0
,GAS,23.0
,ALB,23.0
,RAI,23.0
,RUS,23.0
,LAT,23.0
,HAM,24.0
,BOT,24.0
,VER,24.0
,LEC,24.0
,SAI,24.0
,NOR,24.0
,GRO,24.0
,RIC,24.0
,STR,24.0
,OCO,24.0
,VET,24.0
,GIO,24.0
,GAS,24.0
,ALB,24.0
,RAI,24.0
,RUS,24.0
,LAT,24.0
,HAM,25.0
,BOT,25.0
,VER,25.0
,LEC,25.0
,SAI,25.0
,NOR,25.0
,GRO,25.0
,RIC,25.0
,STR,25.0
,OCO,25.0
,VET,25.0
,GIO,25.0
,GAS,25.0
,ALB,25.0
,RAI,25.0
,RUS,25.0
,LAT,25.0
,HAM,26.0
,BOT,26.0
,VER,26.0
,LEC,26.0
,SAI,26.0
,NOR,26.0
,GRO,26.0
,RIC,26.0
,STR,26.0
,OCO,26.0
,VET,26.0
,GIO,26.0
,GAS,26.0
,ALB,26.0
,RAI,26.0
,RUS,26.0
,LAT,26.0
,HAM,27.0
,BOT,27.0
,VER,27.0
,LEC,27.0
,SAI,27.0
,NOR,27.0
,GRO,27.0
,RIC,27.0
,STR,27.0
,OCO,27.0
,VET,27.0
,GIO,27.0
,GAS,27.0
,ALB,27.0
,RUS,27.0
,RAI,27.0
,LAT,27.0
,HAM,28.0
,BOT,28.0
,VER,28.0
,LEC,28.0
,SAI,28.0
,NOR,28.0
,GRO,28.0
,RIC,28.0
,STR,28.0
,OCO,28.0
,VET,28.0
,GIO,28.0
,GAS,28.0
,ALB,28.0
,RUS,28.0
,RAI,28.0
,LAT,28.0
,HAM,29.0
,BOT,29.0
,VER,29.0
,LEC,29.0
,SAI,29.0
,NOR,29.0
,GRO,29.0
,RIC,29.0
,STR,29.0
,OCO,29.0
,VET,29.0
,GIO,29.0
,GAS,29.0
,ALB,29.0
,RUS,29.0
,RAI,29.0
,LAT,29.0
,HAM,30.0
,BOT,30.0
,VER,30.0
,LEC,30.0
,SAI,30.0
,NOR,30.0
,GRO,30.0
,RIC,30.0
,STR,30.0
,OCO,30.0
,VET,30.0
